bedrooms,bathrooms,size_sqm,plot_size_sqm,age_years,distance_to_cbd_km,gated_community,has_pool,has_garage,has_backup_power,has_borehole,price_ghs,city_Cape Coast,city_Kumasi,city_Takoradi,city_Tamale,city_Tema,property_type_Detached House,property_type_Semi-Detached,property_type_Townhouse,price_per_sqm_proxy,total_rooms,is_far_from_cbd
4,4,204.1,260.4,23,3.75,0,0,1,0,1,886393.67,False,True,False,False,False,False,True,False,204.1,8,0
6,5,280.6,0.0,9,0.88,1,0,0,0,1,857246.54,False,False,False,True,False,False,False,False,280.6,11,0
3,2,161.9,197.0,24,27.47,1,0,0,0,1,562882.36,False,True,False,False,False,False,True,False,161.9,5,1
3,3,169.3,0.0,7,11.76,0,0,0,0,0,667768.92,False,True,False,False,False,False,False,False,169.3,6,0
3,2,152.3,295.7,27,0.87,0,0,0,1,0,736923.8,True,False,False,False,False,True,False,False,152.3,5,0
2,1,123.1,148.6,10,2.27,1,0,1,1,1,1809125.84,False,False,False,False,False,True,False,False,123.1,3,0
3,3,211.7,437.4,11,8.62,1,0,0,1,1,876875.97,True,False,False,False,False,False,False,True,211.7,6,0
3,3,165.0,221.2,6,5.66,1,0,0,1,1,1428839.76,False,False,False,False,True,False,False,True,165.0,6,0
3,2,182.3,288.9,20,16.91,1,0,0,1,1,1300190.34,False,False,False,False,False,False,True,False,182.3,5,1
3,3,165.2,373.9,8,3.41,0,0,1,1,0,815364.82,False,False,True,False,False,False,False,True,165.2,6,0
2,2,123.4,0.0,25,26.76,0,0,0,0,0,399164.25,False,False,False,False,False,False,False,False,123.4,4,1
3,3,186.9,282.6,1,6.56,0,0,1,0,0,2087861.16,False,False,False,False,False,True,False,False,186.9,6,0
3,2,205.5,459.8,8,3.59,0,0,1,1,0,2079272.37,False,False,False,False,False,False,False,True,205.5,5,0
4,4,187.0,0.0,17,15.05,1,0,1,0,1,821865.35,False,True,False,False,False,False,False,False,187.0,8,1
2,1,97.2,0.0,0,1.28,1,0,1,1,0,778283.35,False,False,False,False,True,False,False,False,97.2,3,0
5,4,260.4,341.0,7,12.81,1,0,0,1,1,2896240.6,False,False,False,False,False,False,False,True,260.4,9,0
3,3,174.9,0.0,15,11.48,1,0,1,1,1,1203077.36,False,False,False,False,False,False,False,False,174.9,6,0
3,3,173.1,0.0,21,19.42,0,0,0,1,1,826071.9,False,False,False,False,False,False,False,False,173.1,6,1
3,3,174.7,0.0,13,20.21,0,0,0,1,0,393668.1,True,False,False,False,False,False,False,False,174.7,6,1
5,5,271.1,437.1,17,7.01,1,0,1,0,0,807252.88,False,False,False,True,False,False,True,False,271.1,10,0
2,2,148.9,313.7,10,10.37,1,0,0,0,0,967677.4,False,False,False,False,True,False,True,False,148.9,4,0
